% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2
0.021	1	5	3	2	1	0	81	0	0
0.022	1	12	3	3	2	0	81	0	0
0.023	1	1	3	4	3	0	81	0	0
0.024	1	13	3	5	4	0	81	0	0
0.025	1	5	3	6	1	0	81	0	0
0.026	1	20	3	7	13	0	81	0	0
0.027	1	2	3	8	14	0	81	0	0
0.028	1	14	3	9	15	0	81	0	0
0.029	1	11	3	10	16	0	81	0	0
0.03	1	12	4	1	2	28	2196	0	0
0.031	1	1	4	2	3	28	2196	0	0
0.032	1	17	4	3	27	0	81	0	0
0.033	1	19	4	4	28	0	81	0	0
0.034	1	3	4	5	29	0	81	0	0
0.035	1	18	4	6	30	0	81	0	0
0.036	1	13	4	7	4	28	2196	0	0
0.037	1	20	4	8	13	28	2196	0	0
0.038	1	9	4	9	36	0	81	0	0
0.039	1	10	4	10	37	0	81	0	0
0.04	1	7	5	1	38	0	81	0	0
0.041	1	6	5	2	39	0	81	0	0
0.042	1	2	5	3	14	28	2196	0	0
0.043	1	14	5	4	15	28	2196	0	0
0.044	1	4	5	5	42	0	81	0	0
0.045	1	8	5	6	43	0	81	0	0
0.046	1	16	5	7	44	0	81	0	0
0.047	1	15	5	8	45	0	81	0	0
0.048	1	11	5	9	16	28	2196	0	0
0.049	1	17	5	10	27	28	2196	0	0
0.05	1	19	6	1	28	28	2196	0	0
0.051	1	3	6	2	29	28	2196	0	0
0.052	1	18	6	3	30	28	2196	0	0
0.053	1	9	6	4	36	28	2196	0	0
0.054	1	10	6	5	37	28	2196	0	0
0.055	1	7	6	6	38	28	2196	0	0
0.056	1	6	6	7	39	28	2196	0	0
0.057	1	4	6	8	42	28	2196	0	0
0.058	1	8	6	9	43	28	2196	0	0
0.059	1	16	6	10	44	28	2196	0	0
0.06	1	15	7	1	45	28	2196	0	0
0.061	1	5	7	2	1	28	2196	0	0
0.062	1	12	7	3	2	28	2196	0	0
0.063	1	1	7	4	3	28	2196	0	0
0.064	1	13	7	5	4	28	2196	0	0
0.065	1	20	7	6	13	28	2196	0	0
0.066	1	2	7	7	14	28	2196	0	0
0.067	1	14	7	8	15	28	2196	0	0
0.068	1	11	7	9	16	28	2196	0	0
0.069	1	17	7	10	27	28	2196	0	0
0.07	1	19	8	1	28	28	2196	0	0
0.071	1	3	8	2	29	28	2196	0	0
0.072	1	18	8	3	30	28	2196	0	0
0.073	1	9	8	4	36	28	2196	0	0
0.074	1	10	8	5	37	28	2196	0	0
0.075	1	7	8	6	38	28	2196	0	0
0.076	1	6	8	7	39	28	2196	0	0
0.077	1	4	8	8	42	28	2196	0	0
0.078	1	8	8	9	43	28	2196	0	0
0.079	1	16	8	10	44	28	2196	0	0
0.08	1	15	9	1	45	28	2196	0	0
0.081	1	5	9	2	1	28	2196	0	0
0.082	1	12	9	3	2	28	2196	0	0
0.083	1	1	9	4	3	28	2196	0	0
0.084	1	13	9	5	4	28	2196	0	0
0.085	1	20	9	6	13	28	2196	0	0
0.086	1	2	9	7	14	28	2196	0	0
0.087	1	14	9	8	15	28	2196	0	0
0.088	1	11	9	9	16	28	2196	0	0
0.089	1	17	9	10	27	28	2196	0	0
0.09	1	19	10	1	28	28	2196	0	0
0.091	1	3	10	2	29	28	2196	0	0
0.092	1	18	10	3	30	28	2196	0	0
0.093	1	9	10	4	36	28	2196	0	0
0.094	1	10	10	5	37	28	2196	0	0
0.095	1	7	10	6	38	28	2196	0	0
0.096	1	6	10	7	39	28	2196	0	0
0.097	1	4	10	8	42	28	2196	0	0
0.098	1	8	10	9	43	28	2196	0	0
0.099	1	16	10	10	44	28	2196	0	0
0.1	1	15	11	1	45	28	2196	0	0
0.101	1	5	11	2	1	28	2196	0	0
0.102	1	12	11	3	2	28	2196	0	0
0.103	1	1	11	4	3	28	2196	0	0
0.104	1	13	11	5	4	28	2196	0	0
0.105	1	20	11	6	13	28	2196	0	0
0.106	1	2	11	7	14	28	2196	0	0
0.107	1	14	11	8	15	28	2196	0	0
0.108	1	11	11	9	16	28	2196	0	0
0.109	1	17	11	10	27	28	2196	0	0
0.11	1	19	12	1	28	28	2196	0	0
0.111	1	3	12	2	29	28	2196	0	0
0.112	1	18	12	3	30	28	2196	0	0
0.113	1	9	12	4	36	28	2196	0	0
0.114	1	10	12	5	37	28	2196	0	0
0.115	1	7	12	6	38	28	2196	0	0
0.116	1	6	12	7	39	28	2196	0	0
0.117	1	4	12	8	42	28	2196	0	0
0.118	1	8	12	9	43	28	2196	0	0
0.119	1	16	12	10	44	28	2196	0	0
0.12	1	15	13	1	45	28	2196	0	0
0.121	1	5	13	2	1	28	2196	0	0
0.122	1	12	13	3	2	28	2196	0	0
0.123	1	1	13	4	3	28	2196	0	0
0.124	1	13	13	5	4	28	2196	0	0
0.125	1	20	13	6	13	28	2196	0	0
0.126	1	2	13	7	14	28	2196	0	0
0.127	1	14	13	8	15	28	2196	0	0
0.128	1	11	13	9	16	28	2196	0	0
0.129	1	17	13	10	27	28	2196	0	0
0.13	1	19	14	1	28	28	2196	0	0
0.131	1	3	14	2	29	28	2196	0	0
0.132	1	18	14	3	30	28	2196	0	0
0.133	1	9	14	4	36	28	2196	0	0
0.134	1	10	14	5	37	28	2196	0	0
0.135	1	7	14	6	38	28	2196	0	0
0.136	1	6	14	7	39	28	2196	0	0
0.137	1	4	14	8	42	28	2196	0	0
0.138	1	8	14	9	43	28	2196	0	0
0.139	1	16	14	10	44	28	2196	0	0
0.14	1	15	15	1	45	28	2196	0	0
0.141	1	5	15	2	1	28	2196	0	0
0.142	1	12	15	3	2	28	2196	0	0
0.143	1	1	15	4	3	28	2196	0	0
0.144	1	13	15	5	4	28	2196	0	0
0.145	1	20	15	6	13	28	2196	0	0
0.146	1	2	15	7	14	28	2196	0	0
0.147	1	14	15	8	15	28	2196	0	0
0.148	1	11	15	9	16	28	2196	0	0
0.149	1	17	15	10	27	28	2196	0	0
0.15	1	19	16	1	28	28	2196	0	0
0.151	1	3	16	2	29	28	2196	0	0
0.152	1	18	16	3	30	28	2196	0	0
0.153	1	9	16	4	36	28	2196	0	0
0.154	1	10	16	5	37	28	2196	0	0
0.155	1	7	16	6	38	28	2196	0	0
0.156	1	6	16	7	39	28	2196	0	0
0.157	1	4	16	8	42	28	2196	0	0
0.158	1	8	16	9	43	28	2196	0	0
0.159	1	16	16	10	44	28	2196	0	0
0.16	1	15	17	1	45	28	2196	0	0
0.161	1	5	17	2	1	28	2196	0	0
0.162	1	12	17	3	2	28	2196	0	0
0.163	1	1	17	4	3	28	2196	0	0
0.164	1	13	17	5	4	28	2196	0	0
0.165	1	20	17	6	13	28	2196	0	0
0.166	1	2	17	7	14	28	2196	0	0
0.167	1	14	17	8	15	28	2196	0	0
0.168	1	11	17	9	16	28	2196	0	0
0.169	1	17	17	10	27	28	2196	0	0
0.17	1	19	18	1	28	28	2196	0	0
0.171	1	3	18	2	29	28	2196	0	0
0.172	1	18	18	3	30	28	2196	0	0
0.173	1	9	18	4	36	28	2196	0	0
0.174	1	10	18	5	37	28	2196	0	0
0.175	1	7	18	6	38	28	2196	0	0
0.176	1	6	18	7	39	28	2196	0	0
0.177	1	4	18	8	42	28	2196	0	0
0.178	1	8	18	9	43	28	2196	0	0
0.179	1	16	18	10	44	28	2196	0	0
0.18	1	15	19	1	45	28	2196	0	0
0.181	1	5	19	2	1	28	2196	0	0
0.182	1	12	19	3	2	28	2196	0	0
0.183	1	1	19	4	3	28	2196	0	0
0.184	1	13	19	5	4	28	2196	0	0
0.185	1	20	19	6	13	28	2196	0	0
0.186	1	2	19	7	14	28	2196	0	0
0.187	1	14	19	8	15	28	2196	0	0
0.188	1	11	19	9	16	28	2196	0	0
0.189	1	17	19	10	27	28	2196	0	0
0.19	1	19	20	1	28	28	2196	0	0
0.191	1	3	20	2	29	28	2196	0	0
0.192	1	18	20	3	30	28	2196	0	0
0.193	1	9	20	4	36	28	2196	0	0
0.194	1	10	20	5	37	28	2196	0	0
0.195	1	7	20	6	38	28	2196	0	0
